Gene symbol	Entrez gene ID	Description	RefSeq accession	Molecular class	empty
ALDH1A1	216	Aldehyde dehydrogenase 1	NP_000680.2	Enzyme: Dehydrogenase	
FAU	2197	FAU	NP_001988.1	Ubiquitin proteasome system protein	
ALDH2	217	Aldehyde dehydrogenase 2	NP_000681.2	Enzyme: Dehydrogenase	
ALDH3A1	218	Aldehyde dehydrogenase 3	NP_000682.3	Enzyme: Dehydrogenase	
ALDH3A1	218	Aldehyde dehydrogenase 3	NP_001128639.1	Enzyme: Dehydrogenase	
ALDH3A1	218	Aldehyde dehydrogenase 3	NP_001128640.1	Enzyme: Dehydrogenase	
ALDH1B1	219	Aldehyde dehydrogenase 5	NP_000683.3	Enzyme: Dehydrogenase	
ACAT2	39	Acetyl-CoA acetyltransferase 2	NP_005882.2	Enzyme: Acyltransferase	
CHRNA1	1134	"Acetylcholine receptor protein, alpha chain"	NP_000070.1	Intracellular ligand gated channel	
CHRNA1	1134	"Acetylcholine receptor protein, alpha chain"	NP_001034612.1	Intracellular ligand gated channel	
CHRNE	1145	"Nicotinic acetylcholine receptor, epsilon subunit"	NP_000071.1	Extracellular ligand gated channel	
CHRNG	1146	"Cholinergic receptor, nicotinic, gamma polypeptide"	NP_005190.4	Extracellular ligand gated channel	
ACHE	43	Acetylcholinesterase	NP_056646.1	Enzyme: Esterase	
ACHE	43	Acetylcholinesterase	NP_000656.1	Enzyme: Esterase	
ASCL1	429	ASCL1	NP_004307.2	Transcription factor	
ACO2	50	"Aconitase, mitochondrial"	NP_001089.1	Enzyme: Hydratase	
ACO1	48	"Aconitase, soluble"	NP_002188.1	Enzyme: Isomerase	
ACRV1	56	Acrosomal vesicle protein 1	NP_001603.1	Ligand	
ACRV1	56	Acrosomal vesicle protein 1	NP_064500.1	Ligand	
ACRV1	56	Acrosomal vesicle protein 1	NP_064454.1	Ligand	
ACRV1	56	Acrosomal vesicle protein 1	NP_064492.1	Ligand	
ACRV1	56	Acrosomal vesicle protein 1	NP_064493.1	Ligand	
ACRV1	56	Acrosomal vesicle protein 1	NP_064494.1	Ligand	
ACRV1	56	Acrosomal vesicle protein 1	NP_064496.1	Ligand	
ACRV1	56	Acrosomal vesicle protein 1	NP_064498.1	Ligand	
ACRV1	56	Acrosomal vesicle protein 1	NP_064499.2	Ligand	
ACRV1	56	Acrosomal vesicle protein 1	NP_064495.1	Ligand	
ACTC1	70	"Actin alpha, cardiac muscle"	NP_005150.1	Cytoskeletal protein	
ACTG2	72	"Actin gamma 2, smooth muscle enteric"	NP_001606.1	Structural protein	
ACTG1	71	Actin gamma 1	NP_001605.1	Structural protein	
FLNC	2318	Filamin C	NP_001449.3	Cytoskeletal associated protein	
FLNC	2318	Filamin C	NP_001120959.1	Cytoskeletal associated protein	
ACTN2	88	Actinin alpha 2	NP_001094.1	Cytoskeletal associated protein	
ACTN1	87	Actinin alpha 1	NP_001093.1	Cytoskeletal associated protein;Structural protein	
ACTN1	87	Actinin alpha 1	NP_001123476.1	Cytoskeletal associated protein;Structural protein	
ACTN1	87	Actinin alpha 1	NP_001123477.1	Cytoskeletal associated protein;Structural protein	
ACVR1	90	"Activin A receptor, type I"	NP_001096.1	Receptor serine/threonine kinase	
ACVR1	90	"Activin A receptor, type I"	NP_001104537.1	Receptor serine/threonine kinase	
RFC4	5984	Replication factor C4	NP_002907.1	DNA binding protein	
RFC4	5984	Replication factor C4	NP_853551.1	DNA binding protein	
PML	5371	PML	NP_150241.2	Transcription regulatory protein	
PML	5371	PML	NP_150252.1	Transcription regulatory protein	
PML	5371	PML	NP_150253.2	Transcription regulatory protein	
PML	5371	PML	NP_002666.1	Transcription regulatory protein	
PML	5371	PML	NP_150242.1	Transcription regulatory protein	
PML	5371	PML	NP_150243.2	Transcription regulatory protein	
PML	5371	PML	NP_150245.2	Transcription regulatory protein	
PML	5371	PML	NP_150247.2	Transcription regulatory protein	
PML	5371	PML	NP_150248.1	Transcription regulatory protein	
PML	5371	PML	NP_150249.1	Transcription regulatory protein	
PML	5371	PML	NP_150250.2	Transcription regulatory protein	
RFC1	5981	Replication factor C1	NP_002904.3	DNA binding protein	
ACVR2A	92	"Activin A receptor, type II"	NP_001607.1	Receptor serine/threonine kinase	
STAT3	6774	STAT3	NP_644805.1	Transcription factor	
STAT3	6774	STAT3	NP_003141.2	Transcription factor	
STAT3	6774	STAT3	NP_998827.1	Transcription factor	
AOAH	313	Acyloxyacyl hydrolase	NP_001628.1	Enzyme: Hydrolase	
ACYP2	98	"Acylphosphatase 2, muscle type"	NP_612457.1	Enzyme: Hydrolase	
APRT	353	Adenine phosphoribosyltransferase	NP_000476.1	Enzyme: Ribosyltransferase	
APRT	353	Adenine phosphoribosyltransferase	NP_001025189.1	Enzyme: Ribosyltransferase	
ACTA1	58	"Actin alpha, skeletal muscle 1"	NP_001091.1	Structural protein	
ACTA2	59	Actin alpha 2	NP_001604.1	Cytoskeletal protein	
ACTA2	59	Actin alpha 2	NP_001135417.1	Cytoskeletal protein	
ACTB	60	Actin beta	NP_001092.1	Cytoskeletal protein	
SOAT1	6646	Sterol O-Acyltransferase	NP_003092.4	Enzyme: Acyltransferase	
APEH	327	Acylpeptide hydrolase	NP_001631.3	Enzyme: Hydrolase	
MADCAM1	8174	MADCAM1	NP_570117.1	Adhesion molecule	
MADCAM1	8174	MADCAM1	NP_570116.2	Adhesion molecule	
MADCAM1	8174	MADCAM1	NP_570118.1	Adhesion molecule	
ADD1	118	Adducin 1 alpha	NP_054908.2	Structural protein	
ADD1	118	Adducin 1 alpha	NP_001110.2	Structural protein	
ADD1	118	Adducin 1 alpha	NP_789771.1	Structural protein	
ADD1	118	Adducin 1 alpha	NP_054909.2	Structural protein	
ADD2	119	Adducin 2	NP_001608.1	Anchor protein	
ADD2	119	Adducin 2	NP_059516.2	Anchor protein	
ADD2	119	Adducin 2	NP_059517.1	Anchor protein	
ADD2	119	Adducin 2	NP_059518.2	Anchor protein	
ADD2	119	Adducin 2	NP_059522.1	Anchor protein	
ADD2	119	Adducin 2	NP_059519.1	Anchor protein	
ADD2	119	Adducin 2	NP_059520.1	Anchor protein	
ADD2	119	Adducin 2	NP_059521.1	Anchor protein	
ADA	100	Adenosine deaminase	NP_000013.2	Enzyme: Deaminase	
ADK	132	Adenosine kinase	NP_006712.2	Enzyme: Phosphotransferase	
ADK	132	Adenosine kinase	NP_001114.2	Enzyme: Phosphotransferase	
AMPD1	270	AMP deaminase	NP_000027.1	Enzyme: Deaminase	
