Cell	WGCNAcluster	Name	Age	RegionName	Laminae	Area
Hi_GW21_1.Hi_GW21_1	nEN-early2	Sample1	19	Cortex	All	0
Hi_GW21_2.Hi_GW21_2	nEN-early2	Sample1	19	Cortex	All	0
Hi_GW21_3.Hi_GW21_3	nEN-late	Sample1	19	Cortex	All	0
Hi_GW21_7.Hi_GW21_7	EN-V1-2	Sample1	19	Cortex	All	0
Hi_GW21_6.Hi_GW21_6	EN-V1-2	Sample1	19	Cortex	All	0
Hi_GW21_4.Hi_GW21_4	Glyc	Sample1	19	Cortex	All	0
Hi_GW21_5.Hi_GW21_5	tRG	Sample1	19	Cortex	All	0
Hi_GW21_8.Hi_GW21_8	RG-div1	Sample1	19	Cortex	All	0
Hi_GW16_1.Hi_GW16_1	nEN-early2	Sample2	14	Cortex	SVZ	0
Hi_GW16_12.Hi_GW16_12	nEN-early2	Sample2	14	Cortex	VZ	0
Hi_GW16_21.Hi_GW16_21	nEN-early2	Sample2	14	Cortex	VZ	0
Hi_GW16_8.Hi_GW16_8	nEN-late	Sample2	14	Cortex	SVZ	0
Hi_GW16_19.Hi_GW16_19	nEN-late	Sample2	14	Cortex	VZ	0
Hi_GW16_10.Hi_GW16_10	IN-CTX-CGE1	Sample2	14	Cortex	SVZ	0
Hi_GW16_2.Hi_GW16_2	IN-CTX-CGE1	Sample2	14	Cortex	SVZ	0
Hi_GW16_26.Hi_GW16_26	IN-CTX-CGE1	Sample2	14	Cortex	VZ	0
Hi_GW16_9.Hi_GW16_9	IN-CTX-CGE2	Sample2	14	Cortex	SVZ	0
Hi_GW16_24.Hi_GW16_24	IPC-nEN1	Sample2	14	Cortex	VZ	0
Hi_GW16_14.Hi_GW16_14	IPC-div2	Sample2	14	Cortex	VZ	0
Hi_GW16_16.Hi_GW16_16	oRG	Sample2	14	Cortex	VZ	0
Hi_GW16_17.Hi_GW16_17	tRG	Sample2	14	Cortex	VZ	0
Hi_GW16_20.Hi_GW16_20	tRG	Sample2	14	Cortex	VZ	0
Hi_GW16_25.Hi_GW16_25	tRG	Sample2	14	Cortex	VZ	0
Hi_GW16_11.Hi_GW16_11	vRG	Sample2	14	Cortex	SVZ	0
Hi_GW16_13.Hi_GW16_13	vRG	Sample2	14	Cortex	VZ	0
Hi_GW16_3.Hi_GW16_3	RG-div2	Sample2	14	Cortex	SVZ	0
Hi_GW16_4.Hi_GW16_4	RG-div2	Sample2	14	Cortex	SVZ	0
Hi_GW16_15.Hi_GW16_15	RG-div2	Sample2	14	Cortex	VZ	0
Hi_GW16_18.Hi_GW16_18	RG-div2	Sample2	14	Cortex	VZ	0
O1.F1	nEN-early2	Sample3	18.5	Cortex	VZ	V1
O1.B3	nEN-early2	Sample3	18.5	Cortex	VZ	V1
O1.C3	nEN-early2	Sample3	18.5	Cortex	VZ	V1
O1.A4	nEN-early2	Sample3	18.5	Cortex	VZ	V1
O1.D6	nEN-early2	Sample3	18.5	Cortex	VZ	V1
O1.F6	nEN-early2	Sample3	18.5	Cortex	VZ	V1
O1.G6	nEN-early2	Sample3	18.5	Cortex	VZ	V1
O1.C9	nEN-early2	Sample3	18.5	Cortex	VZ	V1
