cellId	x	y
Hi_GW21_4.Hi_GW21_4	-14.218	27.812
Hi_GW21_5.Hi_GW21_5	-14.336	27.812
Hi_GW21_8.Hi_GW21_8	-14.719	27.713
Hi_GW21_1.Hi_GW21_1	3.746	50.217
Hi_GW21_2.Hi_GW21_2	3.492	50.358
Hi_GW21_3.Hi_GW21_3	-5.463	41.205
Hi_GW21_7.Hi_GW21_7	3.371	51.794
Hi_GW21_6.Hi_GW21_6	12.405	56.865
Hi_GW16_11.Hi_GW16_11	-19.364	33.850
Hi_GW16_3.Hi_GW16_3	-29.616	24.138
Hi_GW16_4.Hi_GW16_4	-25.946	27.255
Hi_GW16_1.Hi_GW16_1	3.684	52.107
Hi_GW16_10.Hi_GW16_10	25.610	25.581
Hi_GW16_2.Hi_GW16_2	25.630	25.580
Hi_GW16_8.Hi_GW16_8	20.509	45.693
Hi_GW16_9.Hi_GW16_9	30.706	29.118
Hi_GW16_13.Hi_GW16_13	-25.258	34.078
Hi_GW16_14.Hi_GW16_14	-19.915	14.102
Hi_GW16_15.Hi_GW16_15	-26.052	27.666
Hi_GW16_16.Hi_GW16_16	-30.027	29.902
Hi_GW16_17.Hi_GW16_17	-26.103	31.019
Hi_GW16_18.Hi_GW16_18	-27.211	24.857
Hi_GW16_20.Hi_GW16_20	-25.873	27.315
Hi_GW16_25.Hi_GW16_25	-26.324	32.198
Hi_GW16_12.Hi_GW16_12	-8.720	48.583
Hi_GW16_19.Hi_GW16_19	-4.431	46.705
Hi_GW16_24.Hi_GW16_24	-14.001	40.908
Hi_GW16_26.Hi_GW16_26	28.455	26.457
Hi_GW16_21.Hi_GW16_21	-11.041	43.867
O1.A1	-26.244	30.847
O1.B1	2.847	51.203
O1.C1	-1.284	39.082
O1.D1	-23.903	16.358
O1.E1	-26.602	30.163
O1.F1	3.035	50.943
O1.G1	-13.701	39.685
O1.H1	-5.383	41.157
O1.A2	-18.503	14.436
O1.C2	21.738	14.096
O1.D2	-3.272	42.844
O1.E2	-2.486	44.140
O1.F2	-27.856	34.632
O1.G2	-0.447	45.218
O1.B3	0.420	48.717
O1.C3	-3.950	45.547
O1.D3	-3.541	43.698
O1.E3	-51.533	41.344
O1.A4	-10.525	44.807
O1.B4	-19.707	12.717
O1.C4	-3.754	44.328
O1.D4	-1.322	45.173
O1.E4	-22.172	11.950
O1.F4	-14.588	41.293
O1.G4	-28.459	15.340
O1.B5	18.984	8.966
O1.C5	-20.706	10.076
O1.E5	17.698	7.897
O1.F5	30.041	25.697
O1.G5	-16.332	39.257
O1.B6	-12.230	43.371
O1.C6	-2.648	45.251
O1.D6	-0.339	43.901
O1.E6	-31.906	33.172
O1.F6	3.119	51.755
O1.G6	-3.545	45.455
O1.C7	1.393	43.639
O1.E7	-6.743	42.389
O1.F7	-0.674	40.211
O1.G7	-26.512	29.901
O1.B8	21.200	6.602
O1.H8	-0.809	40.687
O1.A9	-3.263	42.217
O1.B9	-2.437	44.060
O1.C9	2.925	51.041
O1.F9	-0.855	43.575
O1.H9	-24.951	34.374
O1.A10	29.328	25.087
O1.B10	-11.661	43.892
O1.D10	-2.386	42.848
O1.E10	22.650	8.934
O1.H10	-26.734	28.837
O1.C11	-19.221	12.633
O1.D11	-21.487	13.650
O1.E11	-4.943	44.355
O1.G11	-12.341	45.417
O1.H11	-2.364	43.096
O1.A12	-17.601	39.822
O1.B12	-1.019	43.349
O1.C12	-3.921	44.684
O1.D12	-3.441	42.372
O1.E12	-3.711	46.471
