row_num,gene_id,ensembl_gene_id,gene_symbol,entrez_id
1,9633,"ENSG00000101337","TM9SF4",9777
2,22692,"ENSG00000114650","SCAP",22937
3,22952,"ENSG00000113194","FAF2",23197
4,34497,"ENSG00000150401","DCUN1D2",55208
5,35224,"ENSG00000204444","APOM",55937
6,6512,"ENSG00000090020","SLC9A1",6548
7,405,"ENSG00000137486","ARRB1",408
8,6391,"ENSG00000161547","SRSF2",6427
9,8999,"ENSG00000168679","SLC16A4",9122
10,133718,"ENSG00000177133","FLJ42875",440556
11,5252,"ENSG00000162896","PIGR",5284
12,8711,"ENSG00000185559","DLK1",8788
13,5121,"ENSG00000123360","PDE1B",5153
14,31132,"ENSG00000115561","CHMP3",51652
15,56148,"ENSG00000068120","COASY",80347
16,30629,"ENSG00000111653","ING4",51147
17,25546,"ENSG00000115828","QPCT",25797
18,26860,"ENSG00000171408","PDE7B",27115
19,81203,"ENSG00000164898","C7orf55",154791
20,9519,"ENSG00000101577","LPIN2",9663
21,10910,"ENSG00000114395","CYB561D2",11068
22,32819,"ENSG00000064726","BTBD1",53339
23,77505,"ENSG00000183826","BTBD9",114781
24,30911,"ENSG00000094975","C1orf9",51430
25,2191,"ENSG00000149534","MS4A2",2206
26,10395,"ENSG00000134248","HBXIP",10542
27,7061,"ENSG00000169903","TM4SF4",7104
28,9616,"ENSG00000198846","TOX",9760
29,125055,"ENSG00000197595","C13orf35",400165
30,1449,"ENSG00000204435","CSNK2B",1460
31,81577,"ENSG00000188283","ZNF383",163087
32,82220,"ENSG00000126746","ZNF384",171017
33,31111,"ENSG00000146963","LUC7L2",51631
34,58170,"ENSG00000162897","FCAMR",83953
35,78811,"ENSG00000165972","CCDC38",120935
36,58505,"ENSG00000156531","PHF6",84295
37,10999,"ENSG00000079974","RABL2B",11158
38,8481,"ENSG00000142748","FCN3",8547
39,58205,"ENSG00000113391","FAM172A",83989
40,34960,"ENSG00000100796","SMEK1",55671
41,34114,"ENSG00000074276","CDHR2",54825
42,37310,"ENSG00000240053","LY6G5B",58496
43,133718,"ENSG00000177133","FLJ42875",440556
44,30819,"ENSG00000110079","MS4A4A",51338
45,79068,"ENSG00000167210","LOXHD1",125336
46,37297,"","LINC00474",58483
47,3561,"ENSG00000136634","IL10",3586
48,6905,"ENSG00000108788","MLX",6945
49,2758,"ENSG00000087258","GNAO1",2775
50,34528,"ENSG00000087263","OGFOD1",55239
51,78684,"ENSG00000172551","MUCL1",118430
52,23496,"ENSG00000132840","BHMT2",23743
53,34792,"ENSG00000165125","TRPV6",55503
54,30297,"ENSG00000166503","HDGFRP3",50810
55,123061,"ENSG00000174950","CD164L2",388611
56,34148,"ENSG00000163832","C3orf75",54859
57,30628,"ENSG00000118017","A4GNT",51146
58,10018,"ENSG00000158195","WASF2",10163
59,7798,"ENSG00000239305","RNF103",7844
60,89466,"ENSG00000166926","MS4A6E",245802
61,125324,"","FLJ42200",400860
62,37344,"ENSG00000244355","LY6G6D",58530
63,3719,"ENSG00000143105","KCNA10",3744
64,54937,"ENSG00000182795","C1orf116",79098
65,56513,"ENSG00000204420","C6orf25",80739
66,58887,"ENSG00000166928","MS4A14",84689
67,35147,"ENSG00000133169","BEX1",55859
68,25550,"ENSG00000115271","GCA",25801
69,55445,"ENSG00000180801","ARSJ",79642
70,123966,"ENSG00000184140","OR4F6",390648
71,94313,"ENSG00000181666","HKR1",284459
72,83425,"ENSG00000139200","C12orf53",196500
73,9090,"ENSG00000162894","FAIM3",9214
74,58292,"ENSG00000126653","NSRP1",84081
75,7240,"ENSG00000131462","TUBG1",7283
76,81091,"ENSG00000174137","FAM53A",152877
