data_set_id	probe_id	probe_name	gene_id	gene_acronym
7	103279	RP_Baylor_103279	47593	Gtf3c2
8	103279	RP_Baylor_103279	47593	Gtf3c2
55	254002	RP_Baylor_254002	74469	Pmch
56	254002	RP_Baylor_254002	74469	Pmch
73	103353	RP_Baylor_103353	84170	Adcy2
83	102624	RP_Baylor_102624	11302	Adcy9
84	102624	RP_Baylor_102624	11302	Adcy9
87	6867	RP_040315_01_23	11393	Agt
88	6867	RP_040315_01_23	11393	Agt
100	102808	RP_Baylor_102808	14237	Gata2
106	253875	RP_Baylor_253875	11607	App
107	253875	RP_Baylor_253875	11607	App
108	6916	RP_040324_01_F07	11616	Aqp4
109	6916	RP_040324_01_F07	11616	Aqp4
118	102637	RP_Baylor_102637	11665	Arx
131	102643	RP_Baylor_102643	11784	Avp
132	102643	RP_Baylor_102643	11784	Avp
154	102646	RP_Baylor_102646	11818	Bcan
155	102646	RP_Baylor_102646	11818	Bcan
172	103411	RP_Baylor_103411	106439	Nrcam
173	103411	RP_Baylor_103411	106439	Nrcam
196	102658	RP_Baylor_102658	12172	Ctnnb1
197	102658	RP_Baylor_102658	12172	Ctnnb1
200	102666	RP_Baylor_102666	12209	Cck
201	102666	RP_Baylor_102666	12209	Cck
203	6860	RP_040315_01_13	12210	Cckar
204	6860	RP_040315_01_13	12210	Cckar
224	6877	RP_040324_01_A12	12290	Cd44
232	102673	RP_Baylor_102673	12337	Cdh11
233	102673	RP_Baylor_102673	12337	Cdh11
234	102674	RP_Baylor_102674	12339	Cdh13
236	102676	RP_Baylor_102676	12343	Cdh2
237	102676	RP_Baylor_102676	12343	Cdh2
238	102680	RP_Baylor_102680	12348	Cdh6
244	102682	RP_Baylor_102682	12353	Cdk5
245	102682	RP_Baylor_102682	12353	Cdk5
247	102683	RP_Baylor_102683	12354	Cdk5r1
248	102683	RP_Baylor_102683	12354	Cdk5r1
252	102686	RP_Baylor_102686	12432	Chat
253	102686	RP_Baylor_102686	12432	Chat
261	102689	RP_Baylor_102689	12457	Chrm4
262	102689	RP_Baylor_102689	12457	Chrm4
266	103194	RP_Baylor_103194	33662	Chst2
267	103194	RP_Baylor_103194	33662	Chst2
273	102692	RP_Baylor_102692	12537	Clock
274	102692	RP_Baylor_102692	12537	Clock
275	102693	RP_Baylor_102693	12543	Clu
276	102693	RP_Baylor_102693	12543	Clu
283	253893	RP_Baylor_253893	12584	Cnr1
284	253893	RP_Baylor_253893	12584	Cnr1
287	102696	RP_Baylor_102696	12605	Col18a1
288	102696	RP_Baylor_102696	12605	Col18a1
290	102698	RP_Baylor_102698	12616	Col6a1
291	102698	RP_Baylor_102698	12616	Col6a1
292	102704	RP_Baylor_102704	12701	Crh
293	102704	RP_Baylor_102704	12701	Crh
297	253895	RP_Baylor_253895	12704	Crhr1
298	253895	RP_Baylor_253895	12704	Crhr1
308	103023	RP_Baylor_103023	20078	Cxcl12
309	103023	RP_Baylor_103023	20078	Cxcl12
326	102719	RP_Baylor_102719	12946	Dbh
329	102722	RP_Baylor_102722	12959	Dcn
330	102722	RP_Baylor_102722	12959	Dcn
334	102723	RP_Baylor_102723	12975	Ddc
335	102723	RP_Baylor_102723	12975	Ddc
340	102725	RP_Baylor_102725	12987	Ddx5
341	102725	RP_Baylor_102725	12987	Ddx5
346	103179	RP_Baylor_103179	30269	Dkk3
347	103179	RP_Baylor_103179	30269	Dkk3
348	102729	RP_Baylor_102729	13169	Dlx1
349	102729	RP_Baylor_102729	13169	Dlx1
350	102731	RP_Baylor_102731	13172	Dlx3
351	102731	RP_Baylor_102731	13172	Dlx3
352	102734	RP_Baylor_102734	13267	Drd1
353	102734	RP_Baylor_102734	13267	Drd1
357	102735	RP_Baylor_102735	13268	Drd2
358	102735	RP_Baylor_102735	13268	Drd2
381	102746	RP_Baylor_102746	13416	Efna3
382	102746	RP_Baylor_102746	13416	Efna3
383	102748	RP_Baylor_102748	13418	Efna5
384	102748	RP_Baylor_102748	13418	Efna5
390	102756	RP_Baylor_102756	13581	Enc1
391	102756	RP_Baylor_102756	13581	Enc1
402	102758	RP_Baylor_102758	13619	Epha7
403	102758	RP_Baylor_102758	13619	Epha7
414	102695	RP_Baylor_102695	12588	Cntn1
416	102695	RP_Baylor_102695	12588	Cntn1
424	102771	RP_Baylor_102771	13944	Fgf12
425	102771	RP_Baylor_102771	13944	Fgf12
434	103300	RP_Baylor_103300	56628	Fgf20
440	102779	RP_Baylor_102779	13959	Fgfr1
441	102779	RP_Baylor_102779	13959	Fgfr1
445	102780	RP_Baylor_102780	13960	Fgfr2
448	102781	RP_Baylor_102781	13961	Fgfr3
459	253909	RP_Baylor_253909	14058	Fos
461	103235	RP_Baylor_103235	40891	Foxb1
466	102794	RP_Baylor_102794	14141	Fzd3
467	102794	RP_Baylor_102794	14141	Fzd3
470	102799	RP_Baylor_102799	14146	Fzd8
471	102799	RP_Baylor_102799	14146	Fzd8
472	102802	RP_Baylor_102802	14177	Gabrb2
474	6842	RP_040227_01_01	14182	Gabrg2
476	253976	RP_Baylor_253976	87401	Slc6a1
477	253976	RP_Baylor_253976	87401	Slc6a1
479	6912	RP_040324_01_F01	14191	Gad1
480	6912	RP_040324_01_F01	14191	Gad1
485	102808	RP_Baylor_102808	14237	Gata2
