Template ID	Gene Symbol	Assay ID	EMAP Term	Entrez ID	Theiler Stage
T1773	A030007D23Rik	euxassay_000001	epidermis	319530	TS23
T1773	A030007D23Rik	euxassay_000001	stroma	319530	TS23
T1773	A030007D23Rik	euxassay_000001	retina	319530	TS23
T1773	A030007D23Rik	euxassay_000001	epithelium	319530	TS23
T1773	A030007D23Rik	euxassay_000001	epidermal component	319530	TS23
T1773	A030007D23Rik	euxassay_000001	external ear	319530	TS23
T1773	A030007D23Rik	euxassay_000001	external auditory meatus	319530	TS23
T1773	A030007D23Rik	euxassay_000001	trigeminal V	319530	TS23
T1773	A030007D23Rik	euxassay_000001	oral epithelium	319530	TS23
T1773	A030007D23Rik	euxassay_000001	cerebral cortex	319530	TS23
T1773	A030007D23Rik	euxassay_000001	respiratory	319530	TS23
T1773	A030007D23Rik	euxassay_000001	vestibulocochlear VIII	319530	TS23
T1773	A030007D23Rik	euxassay_000001	submandibular gland primordium	319530	TS23
T1773	A030007D23Rik	euxassay_000001	sublingual gland primordium	319530	TS23
T1773	A030007D23Rik	euxassay_000001	vagus X	319530	TS23
T1773	A030007D23Rik	euxassay_000001	facial VII	319530	TS23
T1773	A030007D23Rik	euxassay_000001	glossopharyngeal IX	319530	TS23
T1773	A030007D23Rik	euxassay_000001	dorsal root ganglion	319530	TS23
T1773	A030007D23Rik	euxassay_000001	cervical	319530	TS23
T1773	A030007D23Rik	euxassay_000001	superior	319530	TS23
T1773	A030007D23Rik	euxassay_000001	nerve trunk	319530	TS23
T1773	A030007D23Rik	euxassay_000001	nasal septum	319530	TS23
T1773	A030007D23Rik	euxassay_000001	nasal cavity	319530	TS23
T1773	A030007D23Rik	euxassay_000001	organ system	319530	TS23
T1773	A030007D23Rik	euxassay_000001	peritoneal cavity	319530	TS23
T1773	A030007D23Rik	euxassay_000001	thymus primordium	319530	TS23
T1773	A030007D23Rik	euxassay_000001	mesenchyme	319530	TS23
T1773	A030007D23Rik	euxassay_000001	conjunctival sac	319530	TS23
T1773	A030007D23Rik	euxassay_000001	salivary gland	319530	TS23
T1773	A030007D23Rik	euxassay_000001	gland	319530	TS23
T1773	A030007D23Rik	euxassay_000001	thyroid	319530	TS23
T1773	A030007D23Rik	euxassay_000001	lobe	319530	TS23
T1773	A030007D23Rik	euxassay_000001	dermal component	319530	TS23
T1773	A030007D23Rik	euxassay_000001	vibrissa	319530	TS23
T1487	Akr1c6	euxassay_000002	middle ear	83702	TS23
T1487	Akr1c6	euxassay_000002	external ear	83702	TS23
T1487	Akr1c6	euxassay_000002		83702	
T1487	Akr1c6	euxassay_000002	saccule	83702	TS23
T1487	Akr1c6	euxassay_000002	lobar bronchus	83702	TS23
T1487	Akr1c6	euxassay_000002	labyrinth	83702	TS23
T1487	Akr1c6	euxassay_000002	respiratory system	83702	TS23
T1487	Akr1c6	euxassay_000002	olfactory	83702	TS23
T1487	Akr1c6	euxassay_000002	respiratory	83702	TS23
T1487	Akr1c6	euxassay_000002	oral region	83702	TS23
T1487	Akr1c6	euxassay_000002	liver	83702	TS23
T1487	Akr1c6	euxassay_000002	stomach	83702	TS23
T1487	Akr1c6	euxassay_000002	lumen	83702	TS23
T1487	Akr1c6	euxassay_000002	nasal septum	83702	TS23
T1487	Akr1c6	euxassay_000002	Meckel's cartilage	83702	TS23
T1487	Akr1c6	euxassay_000002	submandibular gland primordium	83702	TS23
T1487	Akr1c6	euxassay_000002	vibrissa	83702	TS23
T1487	Akr1c6	euxassay_000002	caudal lobe	83702	TS23
T1487	Akr1c6	euxassay_000002	right lung	83702	TS23
T1487	Akr1c6	euxassay_000002	dermal component	83702	TS23
T1487	Akr1c6	euxassay_000002	salivary gland	83702	TS23
T1487	Akr1c6	euxassay_000002	pancreas	83702	TS23
T1487	Akr1c6	euxassay_000002	duodenum	83702	TS23
T1487	Akr1c6	euxassay_000002	epithelium	83702	TS23
T1487	Akr1c6	euxassay_000002	stroma	83702	TS23
T1487	Akr1c6	euxassay_000002	cochlear duct	83702	TS23
T1487	Akr1c6	euxassay_000002	liver and biliary system	83702	TS23
T1487	Akr1c6	euxassay_000002	excretory component	83702	TS23
T1487	Akr1c6	euxassay_000002	adrenal gland	83702	TS23
T1487	Akr1c6	euxassay_000002	lobe	83702	TS23
T1487	Akr1c6	euxassay_000002	turbinate bones	83702	TS23
T1487	Akr1c6	euxassay_000002	sublingual gland primordium	83702	TS23
T1487	Akr1c6	euxassay_000002	vascular element	83702	TS23
T1487	Akr1c6	euxassay_000002	physiological umbilical hernia	83702	TS23
T1487	Akr1c6	euxassay_000002	dermis	83702	TS23
T1487	Akr1c6	euxassay_000002	caudal part	83702	TS23
T1487	Akr1c6	euxassay_000002	umbilical vein	83702	TS23
T1487	Akr1c6	euxassay_000002	umbilical artery	83702	TS23
T1487	Akr1c6	euxassay_000002	gland	83702	TS23
T1487	Akr1c6	euxassay_000002	cardiovascular system	83702	TS23
T1487	Akr1c6	euxassay_000002	thymus primordium	83702	TS23
T1487	Akr1c6	euxassay_000002	extraembryonic component	83702	TS23
T1487	Akr1c6	euxassay_000002	lung	83702	TS23
T1487	Akr1c6	euxassay_000002	haemolymphoid system	83702	TS23
T1487	Akr1c6	euxassay_000002	associated mesenchyme	83702	TS23
T1487	Akr1c6	euxassay_000002	right	83702	TS23
T1487	Akr1c6	euxassay_000002	left	83702	TS23
T1487	Akr1c6	euxassay_000002	utricle	83702	TS23
T1487	Akr1c6	euxassay_000002	lateral semicircular canal	83702	TS23
T2260	Arf4	euxassay_000003	arm	11843	TS23
T2260	Arf4	euxassay_000003	hindlimb	11843	TS23
T2260	Arf4	euxassay_000003	leg	11843	TS23
T2260	Arf4	euxassay_000003	limb	11843	TS23
T2260	Arf4	euxassay_000003	forelimb	11843	TS23
T2260	Arf4	euxassay_000003	epithelium	11843	TS23
T2260	Arf4	euxassay_000003	stroma	11843	TS23
T2260	Arf4	euxassay_000003	vertebral cartilage condensation	11843	TS23
T2260	Arf4	euxassay_000003	associated mesenchyme	11843	TS23
T2260	Arf4	euxassay_000003	stomach	11843	TS23
T2260	Arf4	euxassay_000003	glandular mucous membrane	11843	TS23
T2260	Arf4	euxassay_000003	dermal component	11843	TS23
T2260	Arf4	euxassay_000003	epidermal component	11843	TS23
T2260	Arf4	euxassay_000003	axial skeleton	11843	TS23
T2260	Arf4	euxassay_000003	mesenchyme	11843	TS23
T2260	Arf4	euxassay_000003	lower jaw	11843	TS23
T2260	Arf4	euxassay_000003	mandible	11843	TS23
T2260	Arf4	euxassay_000003	vibrissa	11843	TS23
T2260	Arf4	euxassay_000003	oral region	11843	TS23
T2260	Arf4	euxassay_000003	skeleton	11843	TS23
T2260	Arf4	euxassay_000003	duodenum	11843	TS23
T2260	Arf4	euxassay_000003	foregut	11843	TS23
T2260	Arf4	euxassay_000003	turbinate bones	11843	TS23
T2260	Arf4	euxassay_000003	oral epithelium	11843	TS23
T2260	Arf4	euxassay_000003	trigeminal V	11843	TS23
T2260	Arf4	euxassay_000003	nasal cavity	11843	TS23
T2260	Arf4	euxassay_000003	nose	11843	TS23
T2260	Arf4	euxassay_000003	facial VII	11843	TS23
T2260	Arf4	euxassay_000003	pons	11843	TS23
T2260	Arf4	euxassay_000003	oculomotor III	11843	TS23
T2260	Arf4	euxassay_000003	olfactory	11843	TS23
T2260	Arf4	euxassay_000003	clavicle	11843	TS23
T2260	Arf4	euxassay_000003	pectoral girdle and thoracic body wall	11843	TS23
T2260	Arf4	euxassay_000003	nasal septum	11843	TS23
T2260	Arf4	euxassay_000003	submandibular gland primordium	11843	TS23
T2260	Arf4	euxassay_000003	intervertebral disc	11843	TS23
T2260	Arf4	euxassay_000003	hypoglossal XII	11843	TS23
T2260	Arf4	euxassay_000003	vagus X	11843	TS23
T2260	Arf4	euxassay_000003	floorplate	11843	TS23
T2260	Arf4	euxassay_000003	spinal cord	11843	TS23
T2260	Arf4	euxassay_000003	basal columns	11843	TS23
