geneId	symbol
ENSMUSG00000092210.1	A930009A15Rik
ENSMUSG00000098438.1	Gm27178
ENSMUSG00000095282.1	Gm22548
ENSMUSG00000071671.4	Gm10343
ENSMUSG00000108041.1	Gm5154
ENSMUSG00000084647.1	Gm24382
ENSMUSG00000065430.1	Mir26a-2
ENSMUSG00000055826.5	Tescl
ENSMUSG00000083512.1	Gm12749
ENSMUSG00000094616.7	Gm20888
ENSMUSG00000083403.1	Gm13041
ENSMUSG00000028367.5	Txn1
ENSMUSG00000108967.1	Gm45181
ENSMUSG00000102722.1	Gm37935
ENSMUSG00000042417.4	Ccno
ENSMUSG00000014075.15	Tctex1d2
ENSMUSG00000092431.1	Vmn2r-ps70
ENSMUSG00000086338.2	Gm13723
ENSMUSG00000112162.1	RP24-75H6.4
ENSMUSG00000065236.1	n-R5s197
ENSMUSG00000098559.1	Gm15013
ENSMUSG00000092373.1	Gm20535
ENSMUSG00000086698.1	4930511O05Rik
ENSMUSG00000082974.1	Gm15129
ENSMUSG00000020429.7	Igfbp1
ENSMUSG00000084544.1	Gm23183
ENSMUSG00000087077.1	Gm12480
ENSMUSG00000086785.1	Gm6081
ENSMUSG00000105176.1	Gm43668
ENSMUSG00000092679.1	Mir5129
ENSMUSG00000100135.1	Gm28643
ENSMUSG00000030042.15	Pole4
ENSMUSG00000108728.3	Olfr240-ps1
ENSMUSG00000093827.1	Gm10410
ENSMUSG00000038172.14	Ttc39b
ENSMUSG00000089607.1	Gm22500
ENSMUSG00000031851.14	Ntpcr
ENSMUSG00000034771.15	Tle2
ENSMUSG00000059912.4	Rpl21-ps6
ENSMUSG00000110866.1	RP23-212C9.3
ENSMUSG00000025016.10	Tm9sf3
ENSMUSG00000096950.2	Gm9530
ENSMUSG00000097814.5	Panct2
ENSMUSG00000093976.1	Gm8674
ENSMUSG00000086791.1	Gm12147
ENSMUSG00000083780.8	Gm12728
ENSMUSG00000104631.1	Gm43774
ENSMUSG00000024672.11	Ms4a7
ENSMUSG00000105724.1	Gm44360
ENSMUSG00000100294.6	1700034K08Rik
ENSMUSG00000102391.1	Gm37578
ENSMUSG00000107246.1	Gm42560
ENSMUSG00000088449.1	Gm23559
ENSMUSG00000024420.8	Zfp521
ENSMUSG00000051592.14	Ccnb3
ENSMUSG00000087346.2	Gm5699
ENSMUSG00000082190.1	Gm13641
ENSMUSG00000093904.2	Tomm20
ENSMUSG00000019124.10	Scrn1
ENSMUSG00000061650.6	Med9
ENSMUSG00000049511.5	Htr1b
ENSMUSG00000021116.10	Eif2s1
ENSMUSG00000082717.1	Gm13087
ENSMUSG00000098754.7	Prn
ENSMUSG00000037016.11	Frem2
ENSMUSG00000094351.1	Gm21883
ENSMUSG00000093803.3	Ppp2r3d
ENSMUSG00000090417.2	Vmn2r94
ENSMUSG00000103620.1	Gm37359
ENSMUSG00000060187.4	Lrrc10
ENSMUSG00000109333.1	Gm45028
ENSMUSG00000112766.1	RP23-202A18.4
ENSMUSG00000065208.1	Gm24616
ENSMUSG00000043895.6	S1pr2
ENSMUSG00000001555.10	Fkbp10
ENSMUSG00000015980.14	Lrrc27
ENSMUSG00000084261.1	Rpl36a-ps4
ENSMUSG00000041992.8	Rapgef5
ENSMUSG00000025240.9	Sacm1l
ENSMUSG00000024670.16	Cd6
ENSMUSG00000101575.1	Gm20898
ENSMUSG00000088543.1	Gm24961
ENSMUSG00000095423.1	Gm7375
ENSMUSG00000097453.1	Gm26894
ENSMUSG00000029923.4	Rab19
ENSMUSG00000106318.1	Igkv2-93-1
ENSMUSG00000002741.9	Ykt6
ENSMUSG00000111183.1	RP23-283A2.1
ENSMUSG00000045102.11	Poln
ENSMUSG00000095010.1	Gm23490
ENSMUSG00000051234.6	Rnf7
