Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
A1CF	APOBEC1 complementation factor	29974	10:50806729-50859940	2		10q11.23	yes		melanoma			E		oncogene	Mis				"29974,A1CF,ACF64,ACF65,ASP,ENSG00000148584,MGC163391,RP11-564C4_2"
ABI1	abl-interactor 1	10006	10:26748570-26860863	1	Yes	10p11.2	yes		AML			L	Dom	"TSG, fusion"	T	KMT2A			"10006,ABI-1,ABI1,E3B1,SSH3BP1"
ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	25	9:130835447-130885683	1	Yes	9q34.1	yes		"CML, ALL, T-ALL"			L	Dom	"oncogene, fusion"	"T, Mis"	"BCR, ETV6, NUP214"			"25,ABL,ABL1,ENSG00000097007,JTK7,P00519,bcr/abl,c-ABL,p150,v-abl"
ABL2	"c-abl oncogene 2, non-receptor tyrosine kinase"	27	1:179107718-179143044	1		1q24-q25	yes		AML			L	Dom	"oncogene, fusion"	T	ETV6			"27,ABL2,ABLL,ARG,ENSG00000143322,P42684,RP11-177A2_3"
ACKR3	atypical chemokine receptor 3	57007	2:236580466-236581554	1	Yes	2q37.3	yes		lipoma			M	Dom	"oncogene, fusion"	T	HMGA2			"A8K6J4,ACKR3,CMKOR1,CXCR7,P25106,Q53RV4,Q8NE10,Q92938,Q92986"
ACSL3	acyl-CoA synthetase long-chain family member 3	2181	2:222908773-222941654	1	Yes	2q36	yes		prostate			E	Dom	fusion	T	ETV1			"2181,ACS3,ACSL3,ENSG00000123983,FACL3,O95573,PRO2194"
ACSL6	acyl-CoA synthetase long-chain family member 6	23305	5:131954234-132011553	2		5q31.1	yes		"AML, AEL"			L	Dom	fusion	T	ETV6			"23305,ACS2,ACSL6,ENSG00000164398,FACL6,KIAA0837,LACS2,LACS5"
ACVR1	"activin A receptor, type I"	90	2:157737531-157799493	1		2q23-q24	yes		DIPG			O	Dom	oncogene	Mis		yes	Fibrodysplasia ossificans progressiva	"90,ACTRI,ACVR1,ACVRLK2,ALK2,ENSG00000115170,FOP,Q04771,SKR1"
ACVR2A	activin A receptor type 2A	92	2:147845153-147927274	1		2q22.3-q23.1	yes		"large intestine carcinoma, stomach carcinoma, pancreatic carcinoma, biliary tract, oesophagus"			E	Rec	TSG	"Mis, N, F"				"92,ACTRII,ACVR2,ACVR2A,ENSG00000121989,P27037"
AFF1	"AF4/FMR2 family, member 1"	4299	4:87007409-87135702	1	Yes	4q21	yes		AL			L	Dom	fusion	T	KMT2A			"4299,AF-4,AFF1,ENSG00000172493,MLLT2,P51825,PBM1"
AFF3	"AF4/FMR2 family, member 3"	3899	2:99551474-100104454	1	Yes	2q11.2-q12	yes		"ALL, T-ALL"			L	Dom	"oncogene, fusion"	T	"KMT2A, RUNX1"			"3899,AFF3,ENSG00000144218,LAF4,MLLT2-like,P51826"
AFF4	"AF4/FMR2 family, member 4"	27125	5:132881059-132937189	1	Yes	5q31	yes		ALL			L	Dom	"oncogene, fusion"	T	KMT2A			"27125,AF5Q31,AFF4,ENSG00000072364,MCEF,Q9UHB7"
AKAP9	A kinase (PRKA) anchor protein (yotiao) 9	10142	7:91941100-92110159	2		7q21-q22	yes		papillary thyroid			E	Dom	fusion	T	BRAF			"10142,AKAP350,AKAP450,AKAP9,CG-NAP,ENSG00000127914,HYPERION,KIAA0803,MU-RMS-40_16A,PRKA9,Q99996,YOTIAO"
AKT1	v-akt murine thymoma viral oncogene homolog 1	207	14:104770341-104792643	1		14q32.32	yes		"breast, colorectal, ovarian, NSCLC"			E	Dom	oncogene	Mis				"207,AKT,AKT1,ENSG00000142208,MGC99656,P31749,PKB,PKB-ALPHA,PRKBA,RAC,RAC-ALPHA"
AKT2	v-akt murine thymoma viral oncogene homolog 2	208	19:40233872-40265267	1		19q13.1-q13.2	yes		"ovarian, pancreatic"			E	Dom	oncogene	A				"208,AKT2,ENSG00000105221,P31751,PKBBETA,PRKBB,RAC-BETA"
AKT3	v-akt murine thymoma viral oncogene homolog 3	10000	1:243505249-243843170	2		1q43-q44	yes		GBM			O		oncogene	A				"10000,AKT3,DKFZP434N0250,ENSG00000117020,PKBG,PRKBG,Q9Y243,RAC-PK-gamma,RAC-gamma,STK-2"
ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	217	12:111766983-111809575	2		12q24.2	yes		leiomyoma			M	Dom	fusion	T	HMGA2			"217,ALDH-E2,ALDH2,ALDHI,ALDM,ENSG00000111275,MGC1806,P05091"
ALK	anaplastic lymphoma kinase (Ki-1)	238	2:29193224-29920659	1	Yes	2p23	yes	yes	"ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour"	neuroblastoma	familial neuroblastoma	"L, E, M"	Dom	"oncogene, fusion"	"T, Mis, A"	"NPM1, TPM3, TFG, TPM4, ATIC, CLTC, MSN, RNF213, CARS, EML4, KIF5B, C2orf22, DCTN1, HIP1, TPR, RANBP2, PPFIBP1, SEC31A, STRN, VCL, C2orf44, KLC1"			"238,ALK,CD246,ENSG00000171094,Q9UM73,TFG/ALK"
AMER1	APC membrane recruitment protein 1	139285	X:64186117-64193286	1		Xq11.2	yes		Wilms tumour			O	Rec	TSG	"F, D, N, Mis"				"139285,AMER1,ENSG00000184675,FAM123B,FLJ39827,RP11-403E24_2,WTX"
ANK1	ankyrin 1	286	8:41655727-41797538	2		8p11.21	yes		CCRCC			E			Mis				"286,ANK,ANK1,ENSG00000029534,P16157,SPH1,SPH2"
APC	adenomatous polyposis of the colon gene	324	5:112754891-112844126	1	Yes	5q21	yes	yes	"colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS"	"colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS"	"adenomatous polyposis coli; Turcot syndrome"	"E, M, O"	Rec	TSG	"D, Mis, N, F, S"				"324,APC,DP2,DP2_5,DP3,ENSG00000134982,FPC,GS,P25054"
APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B	9582	22:38982454-38992445	1	Yes	22q13.1		yes		breast cancer		E	Rec	"oncogene, TSG"	D				"9582,APOBEC1L,APOBEC3B,ARCD3,ARP4,DJ742C19_2,ENSG00000179750,FLJ21201,PHRBNL,Q9UH17,_phorbolin 3_,bK150C2_2"
AR	Androgen Receptor	367	X:67545147-67723841	1	Yes	Xq12	yes	yes	prostate			E	Dom	oncogene	Mis		yes	"Androgen insensitivity, Hypospadias 1, X-linked, Spinal and bulbar muscular atrophy of Kennedy"	"367,AIS,AR,DHTR,ENSG00000169083,HUMARA,KD,NR3C4,P10275,RP11-383C12_1,SBMA,SMAX1,TFM"
ARAF	"A-Raf proto-oncogene, serine/threonine kinase"	369	X:47562968-47571457	2		Xp11.3	yes		"cholangiocarcinoma, lung adenocarcinoma, Langerhans cell histiocytosis"			"E, L"		oncogene	Mis				"369,A-RAF,ARAF,ARAF1,ENSG00000078061,P10398,PKS2,RAFA1,RP1-230G1_1"
ARHGAP26	Rho GTPase activating protein 26	23092	5:142770762-143222446	1		5q31	yes		"AML, MDS"			L	Dom	"TSG, fusion"	"T, F, S"	KMT2A			"23092,ARHGAP26,ENSG00000145819,FLJ42530,GRAF,KIAA0621,OPHN1L,OPHN1L1"
ARHGAP5	Rho GTPase activating protein 5	394	14:32090670-32154948	2		14q12	yes		"colon cancer, glioma"			"E, O"		oncogene	Mis				"394,ARHGAP5,ENSG00000100852,RhoGAP5,p190-B"
ARHGEF12	RHO guanine nucleotide exchange factor (GEF) 12 (LARG)	23365	11:120337244-120485077	1		11q23.3	yes		AML			L	Dom	"TSG, fusion"	T	KMT2A			"23365,ARHGEF12,DKFZp686O2372,ENSG00000196914,KIAA0382,LARG,PRO2792,Q9NZN5"
ARID1A	AT rich interactive domain 1A (SWI-like)	8289	1:26696404-26780756	1		1p35.3	yes		"clear cell ovarian carcinoma, RCC, breast"			E	Rec	"TSG, fusion"	"Mis, N, F, S, D, T"	MAST2			"8289,ARID1A,B120,BAF250,BAF250a,BM029,C1orf4,ENSG00000117713,P270,RP1-50O24_1,SMARCF1"
ARID1B	AT rich interactive domain 1B	57492	6:156778104-157207891	1		6q25.1	yes		"breast, hepatocellular carcinoma"			E	Rec	TSG	"Mis, F, N, O"				"57492,6A3-5,ARID1B,BAF250b,BRIGHT,DAN15,ELD/OSA1,ENSG00000049618,KIAA1235,p250R"
ARID2	AT rich interactive domain 2	196528	12:45729837-45905078	1		12q12	yes		hepatocellular carcinoma			E	Rec	TSG	"N, S, F"				"196528,ARID2,BAF200,DKFZp686G052,DKFZp779P0222,ENSG00000189079,FLJ30619,KIAA1557,Q68CP9,p200"
ARNT	aryl hydrocarbon receptor nuclear translocator	405	1:150812021-150876567	1	Yes	1q21	yes		AML			L	Dom	"oncogene, TSG, fusion"	T	ETV6			"405,ARNT,ENSG00000143437,HIF-1beta,HIF1B,HIF1BETA,P27540,TANGO"
ASPSCR1	"alveolar soft part sarcoma chromosome region, candidate 1"	79058	17:81977648-82017323	1	Yes	17q25	yes		alveolar soft part sarcoma			M	Dom	fusion	T	TFE3			"79058,ASPSCR1,ENSG00000169696,Q9BZE9"
ASXL1	additional sex combs like 1	171023	20:32358776-32437338	1	Yes	20q11.1	yes		"MDS, CMML"			L	Rec	TSG	"F, N, Mis"		yes	Bohring-Opitz syndrome	"171023,ASXL1,ENSG00000171456,KIAA0978,MGC117280,MGC71111,Q8IXJ9"
ASXL2	"additional sex combs like 2, transcriptional regulator"	55252	2:25742029-25759640	2		2p23.3	yes		"melanoma, CCRCC, AML"			"E, L"		TSG	"O,N, F"				ASXL2
ATF1	activating transcription factor 1	466	12:50780147-50819780	1		12q13	yes		"malignant melanoma of soft parts, angiomatoid fibrous histiocytoma"			"E, M"	Dom	"oncogene, fusion"	T	"EWSR1, FUS"			"466,ATF1,ENSG00000123268,P18846,TREB36"
ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	471	2:215312144-215349656	1	Yes	2q35	yes		ALCL			L	Dom	fusion	T	ALK			"471,AICARFT,ATIC,ENSG00000138363,IMPCHASE,P31939,PURH"
ATM	ataxia telangiectasia mutated	472	11:108227625-108365508	1	Yes	11q22.3	yes	yes	T-PLL	"leukaemia, lymphoma, medulloblastoma, glioma"	ataxia-telangiectasia	"L, O"	Rec	TSG	"D, Mis, N, F, S"				"472,AT1,ATA,ATC,ATD,ATDC,ATE,ATM,DKFZp781A0353,ENSG00000149311,MGC74674,Q13315,TEL1,TELO1"
ATP1A1	"ATPase, Na+/K+ transporting, alpha 1 polypeptide"	476	1:116373512-116404444	1	Yes	1p21	yes		adrenal aldosterone producing adenoma			E	Dom	"oncogene, TSG"	"Mis, O"				"476,ATP1A1,ENSG00000163399,MGC3285,MGC51750,P05023"
ATP2B3	"ATPase, Ca++ transporting, plasma membrane 3"	492	X:153536248-153580003	1	Yes	Xq28	yes		adrenal aldosterone producing adenoma			E	Dom	TSG	O				"492,ATP2B3,ENSG00000067842,PMCA3"
ATR	ATR serine/threonine kinase	545	3:142449429-142578704	1	Yes	3q23	yes	yes	"endometrial, gastric, epithelial ovarian, myeloma"	oropharyngeal	familial cutaneous telangiectasia and cancer syndrome	"E; L"	Dom	TSG	"F; Mis"		yes	Seckel syndrome 1	"545,ATR,ENSG00000175054,FRP1,MEC1,Q13535,SCKL,SCKL1"
ATRX	alpha thalassemia/mental retardation syndrome X-linked	546	X:77508351-77786001	1	Yes	Xq21.1	yes		"pancreatic neuroendocrine tumours, paediatric GBM"			E	Rec	TSG	"Mis, F, N"		yes	ATR-X (alpha thalassemia/mental retardation) syndrome	"546,ATR2,ATRX,MGC2094,MRXHF1,P46100,RAD54,SFM1,SHS,XH2,XNP,ZNF-HX"
AXIN1	axin 1	8312	16:288122-347025	1	Yes	16p13.3	yes		"colorectal, endometrial, prostate, hepatocellular carcinoma, hepatoblastoma, sporadic medulloblastoma"			"E, O"	Rec	TSG	"D, Mis, N, F, S"				"8312,AXIN,AXIN1,ENSG00000103126,LA16c-314G4_3,MGC52315,O15169"
