geneId	symbol
ENSG00000242268.2	RP11-368I23.2
ENSG00000167578.12	RAB4B
ENSG00000270112.2	RP11-742D12.2
ENSG00000078237.4	C12orf5
ENSG00000263642.1	MIR4802
ENSG00000225275.4	NUP210P2
ENSG00000269416.1	CTB-175P5.4
ENSG00000236850.4	BMS1P20
ENSG00000060642.6	PIGV
ENSG00000231981.3	RPL7L1P12
ENSG00000201788.1	Y_RNA
ENSG00000019995.6	ZRANB1
ENSG00000167700.4	MFSD3
ENSG00000172137.14	CALB2
ENSG00000240423.1	LINC00636
ENSG00000271616.1	RP11-578F21.13
ENSG00000264310.1	AL157883.1
ENSG00000236040.1	CHIAP1
ENSG00000231105.1	RP5-1071N3.1
ENSG00000182141.5	ZNF708
ENSG00000136895.14	GARNL3
ENSG00000231112.1	MTHFD2P3
ENSG00000271100.1	RP11-697H9.5
ENSG00000264981.1	RP11-434D2.10
ENSG00000197557.6	TTC30A
ENSG00000233540.1	DNM3-IT1
ENSG00000252650.1	RNA5SP75
ENSG00000102174.7	PHEX
ENSG00000207754.1	MIR487B
ENSG00000232001.1	AC108868.6
ENSG00000166391.10	MOGAT2
ENSG00000270469.1	RP11-411B10.8
ENSG00000227959.1	RP11-276H7.2
ENSG00000227586.4	RP11-162A23.5
ENSG00000126267.4	COX6B1
ENSG00000269148.1	AC092301.3
ENSG00000179262.5	RAD23A
ENSG00000251538.1	RP11-166A12.1
ENSG00000152953.8	STK32B
ENSG00000166368.2	OR2D2
ENSG00000078668.9	VDAC3
ENSG00000234900.1	RP1-278O22.2
ENSG00000182648.7	LINC01006
ENSG00000251044.1	CTD-2582M21.1
ENSG00000101199.8	ARFGAP1
ENSG00000249830.1	RP11-121L11.3
ENSG00000225269.2	LINC00705
ENSG00000214062.5	RP11-1E1.1
ENSG00000270440.1	RP11-19H6.1
ENSG00000095587.8	TLL2
ENSG00000264198.1	RP11-94L15.2
ENSG00000269113.3	TRABD2B
ENSG00000185652.7	NTF3
ENSG00000264085.1	MIR5004
ENSG00000261475.2	CTD-2014E2.6
ENSG00000008517.12	IL32
